review_scope,ticker,fiscal_year,items,generation_mode,round1_query_type,round1_question,round1_snippet_preview,round1_decision,round1_reviewer_comment,round2_query_type,round2_question,answer_requirement,curation_note,change_summary,acceptable_occurrence_count,round2_snippet_previews,candidate_id,round2_decision,round2_reviewer_comment
active,LIN,2025,"Item 1A, information technology and cybersecurity risk",passage_first,factoid,Have cyber incidents materially affected Linde's performance so far?,"To date, such attempts have not had any significant impact on Linde's operations",?,"還要看更完整的整個 chunk, 現在看不出來這段是不是在想 cyber incidents",factoid,What types of information could operational security failures or breaches expose at Linde?,"One independently sufficient occurrence must identify the types of confidential, proprietary, or personal information that Linde security failures or breaches could expose.",This disclosure gives a company-specific historical outcome and tests retrieval of whether prior cyberattacks caused significant harm.,The Round 1 answer uses the unresolved antecedent 'such attempts'. Joining the cyber-attack antecedent to the historical-impact sentence requires more than 200 characters. The revised question stays within the cybersecurity intent and is directly answered by a 146-character Item 1A clause; the canonical Item 1C copy maps to that same filing-store location.,1,"[{""occurrence_id"": ""LIN-2025-044684"", ""item"": ""Item 1A, information technology and cybersecurity risk"", ""location"": """", ""snippet"": ""Operational failures and breaches of security from such attempts could lead to the loss or disclosure of confidential information or personal data""}]",p50,,
active,DECK,2026,Item 1C,passage_first,passage,"Which security documents undergo periodic refresh, and why?","•periodically reviewing and updating our IRP, privacy policy, and other relevant",?,"從粗體答案中不確定是不是在講security documents, 而且題目出現了 and why, 需要多個 evidence 才能回答",factoid,Which cybersecurity policies and procedures does Deckers periodically review and update?,One independently sufficient occurrence must identify the cybersecurity policies or procedures Deckers periodically reviews and updates.,This evidence identifies the specific policies Deckers updates and links those updates to changing threats and organizational needs.,"The Round 1 wording called the evidence 'security documents' and added a separate why-clause. The revised question uses the filing's own policies/procedures terminology, asks one thing, and is fully answered by one canonical occurrence without the bullet artifact.",1,"[{""occurrence_id"": ""DECK-2026-124910"", ""item"": ""Item 1C"", ""location"": ""Cybersecurity Risk Management and Strategy / key components"", ""snippet"": ""periodically reviewing and updating our IRP, privacy policy, and other relevant policies/procedures.""}]",p40,,
active,LIN,2025,Item 7,passage_first,passage,Factors behind unchanged APAC revenue in 2025,Currency translation decreased sales by 1% primarily due to the weakening of the,?,整個 block 有涵蓋 query 資訊，但粗體本身沒有,passage,How did currency translation affect Linde's APAC sales in 2025?,"One independently sufficient source occurrence must state the direction or magnitude of currency translation's effect on APAC sales in 2025. Consolidated or other-segment sales effects, APAC operating-profit effects, exchange-rate tables without a sales effect, and generic foreign-exchange disclosures are partial or non-responsive.","This passage decomposes flat APAC sales into acquisition gains offset by volume and currency declines, testing retrieval of segment-specific revenue drivers.",The earlier three-driver rewrite remained a compound request. This correction asks only for currency translation's effect on APAC sales. Full-filing re-audit found two distinct responsive source locations: the APAC sales bridge table and the APAC sales narrative.,2,"[{""occurrence_id"": ""LIN-2025-100223"", ""item"": ""7"", ""location"": """", ""snippet"": ""2025 vs 2024\n\n % Change\n\nFactors Contributing to Changes - Sales\n\nVolume(1)%\n\nPrice/Mix— %\n\nCost pass-through— %\n\nCurrency(1)%""}, {""occurrence_id"": ""LIN-2025-101099"", ""item"": ""7"", ""location"": """", ""snippet"": ""Currency translation decreased sales by 1% primarily due to the weakening of the Australian dollar and Korean won against the U.S. dollar.""}]",a16,,
active,NVDA,2026,Item 7,passage_first,passage,What propelled NVIDIA's Data Center compute and networking expansion?,Revenue from Data Center networking grew 142% driven by the introduction and con,?,query 同時問資料中心運算與網路業務的成長，應該只問單一一個,passage,What drove the growth in NVIDIA's Data Center networking revenue in fiscal 2026?,One independently sufficient span must explain the fiscal 2026 drivers of Data Center networking revenue growth; compute-only growth drivers are partial.,"This evidence pairs distinct growth rates with named Blackwell, NVLink, Ethernet, and InfiniBand demand drivers, testing retrieval of segment-specific operating details.",Keeps only the networking-growth intent supported by the original snippet and removes the separate compute-growth intent.,1,"[{""occurrence_id"": ""NVDA-2026-204588"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Reportable Segments"", ""snippet"": ""Revenue from Data Center networking grew 142% driven by the introduction and continued ramp of NVLink compute fabric for GB200 and GB300 systems and the growth of Ethernet and InfiniBand platforms.""}]",a17,,
active,DDOG,2025,Item 7,passage_first,passage,Datadog net retention change and its cause in 2025,The increase in our trailing 12-month dollar-based net retention rate was attrib,?,粗體字不夠長，沒涵蓋到 net retention change 的數據,factoid,How did Datadog’s trailing 12-month dollar-based net retention rate change from 2024 to 2025?,One independently sufficient occurrence must state Datadog's trailing 12-month dollar-based net-retention rates for both 2024 and 2025.,"This evidence quantifies the year-over-year retention improvement and attributes it to greater usage by established customers, testing metric-and-driver retrieval.","The Round 1 question combined the numeric change and its cause, but no single 50–200 character source occurrence states both. The revised question keeps the change requested by the reviewer and the 190-character evidence contains both years' disclosed rates.",1,"[{""occurrence_id"": ""DDOG-2025-225945"", ""item"": ""7"", ""location"": """", ""snippet"": ""As of December 31, 2025, our trailing 12-month dollar-based net retention rate was about 120%. As of December 31, 2024, our trailing 12-month dollar-based net retention rate was high-110%'s.""}]",a18,,
active,LLY,2025,Item 1 | Item 7,passage_first,passage,Why will Lilly's near-term capital spending remain elevated?,"These investments, and other capital investments that support our operations, ha",?,粗體字選錯句了，但整個 block 是有涵蓋到的,passage,Why will Lilly's near-term capital spending remain elevated?,One independently sufficient span must identify demand-driven manufacturing expansion or global manufacturing-facility investment as a reason Lilly expects near-term capital spending to remain elevated.,This passage links rising capital expenditures to global manufacturing investments and tests retrieval of the specific operational driver behind Lilly's spending outlook.,"The Round 1 question is answerable, but its pronoun-led snippet was not the canonical cause sentence. Full traversal found three distinct disclosures that independently attribute the spending outlook to manufacturing expansion or global-facility investment, including the preceding sentence identified by the Round 1 comment.",3,"[{""occurrence_id"": ""LLY-2025-081769"", ""item"": ""Item 1"", ""location"": ""Business / Raw Materials and Product Supply"", ""snippet"": ""To support anticipated demand for our current and prospective products, we have undertaken significant manufacturing expansion initiatives.""}, {""occurrence_id"": ""LLY-2025-202988"", ""item"": ""Item 7"", ""location"": ""Executive Overview / Other Matters / Incretin Medicines"", ""snippet"": ""To support anticipated demand for our current and prospective products, we have undertaken significant manufacturing expansion initiatives.""}, {""occurrence_id"": ""LLY-2025-214383"", ""item"": ""Item 7"", ""location"": ""Financial Condition and Liquidity"", ""snippet"": ""We are making investments in global facilities to manufacture existing and future products.""}]",a19,,
active,PODD,2025,Item 7,passage_first,passage,2025 capital spending increase and associated factory expansion projects,Capital Spending—Capital expenditures were $191.6 million and $124.9 million in,?,query 問單一問題，看是資本增加原因，或是有哪些工廠擴建專案之類的,passage,What investments primarily drove Insulet’s $66.7 million increase in capital expenditures in 2025?,One independently sufficient occurrence must identify the Costa Rica plant investment and the additional Malaysia machinery and equipment as the primary causes of the 2025 increase.,This passage links the year-over-year increase in capital expenditures to specific manufacturing investments in Costa Rica and Malaysia.,The revision asks one causal question. It replaces the Round 1 amount-only snippet with the adjacent cause disclosure and preserves both company-stated primary investments.,1,"[{""occurrence_id"": ""PODD-2025-161437"", ""item"": ""Item 7"", ""location"": ""Liquidity and Capital Resources / Investing Activities / Capital Spending"", ""snippet"": ""$66.7 million increase primarily related to the investment in our third manufacturing plant in Costa Rica and the purchase of additional machinery and equipment for our Malaysia manufacturing facility""}]",a20,,
active,COIN,2025,Item 7,passage_first,passage,Coinbase policy and liquidity constraints for investment digital assets,We do not plan to engage in regular trading of these crypto assets but may purch,?,query 問單一問題，看是 policy 還是 liquidity constraints,passage,How does Coinbase approach regular trading of crypto assets it holds for investment?,One independently sufficient span must state Coinbase's policy or practice concerning regular trading of investment crypto assets.,"This passage explains Coinbase’s long-term holding approach, exceptional-sale policy, and potential difficulty monetizing investment crypto during market instability.","The revision follows the Round 1 request to ask one question by retaining the investment-policy intent and removing liquidity constraints. After the Item 8 exclusion, two filing-store locations independently state the long-term, non-regular-trading policy.",2,"[{""occurrence_id"": ""COIN-2025-410539"", ""item"": ""Item 7"", ""location"": ""Non-GAAP Financial Measure / Adjusted EBITDA"", ""snippet"": ""We do not plan on engaging in regular trading of crypto assets, and, as an operating company, our investing activities in crypto are not part of our revenue generating activities""}, {""occurrence_id"": ""COIN-2025-419843"", ""item"": ""Item 7"", ""location"": ""Liquidity and Capital Resources / Other resources and commitments / Crypto assets"", ""snippet"": ""We do not plan to engage in regular trading of these crypto assets but may purchase additional crypto assets for investment as a buy and hold strategy.""}]",a21,,
active,AMZN,2025,Item 7,passage_first,passage,How does Amazon account for satellite broadband development before and after viability?,We will capitalize certain of these costs once the service achieves commercial v,?,粗體字太短，無法包含所有需要回答 query 的資訊,passage,When will Amazon begin capitalizing certain satellite broadband development costs?,One independently sufficient span must state the trigger for Amazon to begin capitalizing the satellite broadband development costs; a before-viability expense description is partial.,This evidence captures Amazon-specific accounting treatment for its satellite network and tests retrieval of the capitalization threshold after commercial viability.,The original before-and-after accounting request cannot fit the evidence limits. The revision asks only for the independently answerable capitalization trigger.,1,"[{""occurrence_id"": ""AMZN-2025-119988"", ""item"": ""Item 7"", ""location"": ""Overview"", ""snippet"": ""We will capitalize certain of these costs once the service achieves commercial viability, including sales to customers.""}]",a22,,
active,DECK,2026,Item 7,passage_first,passage,Deckers currency-neutral revenue and comparable direct-sales growth rates,"•Comparable DTC channel net sales for the 52 weeks ended March 29, 2026, increas",?,應該要只有單一問題，currency-neutral revenue 或 comparable direct-sales growth rates,factoid,How much did Deckers' net sales increase on a constant-currency basis in fiscal 2026?,One independently sufficient occurrence must state Deckers' constant-currency net-sales increase in fiscal 2026.,"This passage provides two related supplemental sales-growth measures, testing retrieval of adjusted revenue performance metrics.","The Round 1 query joined two non-GAAP growth measures. The revised question selects only constant-currency net-sales growth, leaving p23 to cover the separate unit-volume metric and avoiding another compound query.",1,"[{""occurrence_id"": ""DECK-2026-160324"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Supplemental Disclosure"", ""snippet"": ""On a constant currency basis, net sales increased by 9.0%, compared to the prior period.""}]",a23,,
active,CAT,2025,Item 7,passage_first,passage,"RPMGlobal deal cost, completion schedule, and mining software capabilities",The transaction is expected to close in the final two weeks of February with a p,?,"題目應該簡化為 deal cost and completion schedule,  拿掉 mining software capabilities",passage,What were the expected purchase price and closing schedule for Caterpillar's RPMGlobal acquisition?,One independently sufficient span must state both the expected closing window and purchase price for the RPMGlobal acquisition.,"This passage combines the acquisition’s expected closing window and consideration with RPMGlobal’s specialized mining technology expertise, testing transaction-detail retrieval.","Removes mining-software capabilities as requested in Round 1, leaving one transaction-detail intent that each 149-character occurrence answers independently.",1,"[{""occurrence_id"": ""CAT-2025-171845"", ""item"": ""Item 7"", ""location"": ""LIQUIDITY AND CAPITAL RESOURCES / Machinery, Power & Energy / resource allocation discussion"", ""snippet"": ""The transaction is expected to close in the final two weeks of February with a purchase price of approximately $790 million, excluding cash acquired.""}]",a25,,
active_new,NEE,2025,Item 7 | Item 6,intent_first,,,,,,passage,How did growth in FPL's regulatory capital base affect its 2025 earnings?,One independently sufficient span must explain how growth in FPL's regulatory capital base affected 2025 earnings; a span stating only capital spending or an earnings amount is partial.,Understand whether regulated capital deployment translated into earnings growth.,"The question remains unchanged. The filing store contains two distinct answer texts under Item 7, and each has a second reachable copy under the store's Item 6 label. All four locations are enumerated as OR alternatives; the detailed answer text also states that the investments grew average rate base by approximately $5.5 billion.",4,"[{""occurrence_id"": ""NEE-2025-180298"", ""item"": ""Item 7"", ""location"": ""Overview / 2025 Summary"", ""snippet"": ""FPL's net income increased in 2025 primarily driven by continued investments in plant in service and other property and a higher earned regulatory ROE in 2025.""}, {""occurrence_id"": ""NEE-2025-183888"", ""item"": ""7"", ""location"": ""FPL Results of Operations"", ""snippet"": ""The increase was primarily driven by higher earnings from investments in plant in service and other property.""}, {""occurrence_id"": ""NEE-2025-store-item6-6732"", ""item"": ""6"", ""location"": ""Flat Item 6 / [Reserved] / FPL and NEER earnings summary"", ""snippet"": ""FPL's net income increased in 2025 primarily driven by continued investments in plant in service and other property and a higher earned regulatory ROE in 2025.""}, {""occurrence_id"": ""NEE-2025-store-item6-10171"", ""item"": ""6"", ""location"": ""Flat Item 6 / [Reserved] / FPL earnings"", ""snippet"": ""The increase was primarily driven by higher earnings from investments in plant in service and other property.""}]",n01,,
active_new,LLY,2025,Item 7,intent_first,,,,,,passage,What were the principal drivers of Lilly's 2025 revenue growth?,One independently sufficient span must identify the principal company-disclosed drivers of Lilly's 2025 revenue growth; a span containing only the growth rate is partial.,Identify the operating drivers behind company-level revenue growth.,The question remains unchanged. Full traversal found one concise company-level driver sentence and one distinct geographic driver disclosure; both are valid OR alternatives.,2,"[{""occurrence_id"": ""LLY-2025-188613"", ""item"": ""Item 7"", ""location"": ""Executive Overview / Financial Results"", ""snippet"": ""Revenue increased in 2025 driven primarily by increased volume, partially offset by lower realized prices.""}, {""occurrence_id"": ""LLY-2025-208980"", ""item"": ""7"", ""location"": ""Results of Operations / Operating Results—2025 / Revenue"", ""snippet"": ""In the U.S., the volume increase and the lower realized prices in 2025 were primarily driven by Mounjaro and Zepbound. \n\nOutside the U.S., the volume increase in 2025 was primarily driven by Mounjaro.""}]",n02,,
active_new,PLD,2025,Item 7 | Item 1,intent_first,,,,,,passage,What drove the change in Prologis's rental revenue in 2025?,One independently sufficient occurrence must explain a principal company-disclosed driver of Prologis's 2025 rental-revenue change; an isolated revenue amount or percentage is partial.,Understand the operating causes of rental-revenue movement.,The intent-first question remains unchanged. Full traversal found three distinct locations that independently explain the 2025 lease mark-to-market and rollover-rent mechanism.,3,"[{""occurrence_id"": ""PLD-2025-130013"", ""item"": ""Item 7"", ""location"": ""Management's Overview / Summary of 2025"", ""snippet"": ""Our results during 2025 continued to reflect the favorable mark-to-market of our existing leases, reflecting increases in market rents over the past several years.""}, {""occurrence_id"": ""PLD-2025-030022"", ""item"": ""Item 1"", ""location"": ""Future Growth / Rent Growth"", ""snippet"": ""For lease rollovers during 2025, the increases to market on our share of the O&M portfolio resulted in increases of approximately 50% on net effective rents.""}, {""occurrence_id"": ""PLD-2025-136602"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Real Estate Segment"", ""snippet"": ""Significant rent change due to higher rental rates on the rollover of leases during both periods continues to be a key driver of increasing rental income.""}]",n03,,
active_new,XOM,2025,Item 16,intent_first,,,,,,passage,How did lower crude prices affect ExxonMobil's 2025 Upstream earnings?,One independently sufficient span must explain the effect of lower crude prices on ExxonMobil's 2025 Upstream earnings.,Connect commodity-price movements to the company's earnings performance.,"The filing reports 2025 crude-oil and natural-gas price movements together, but the independently sufficient 2025 earnings-driver disclosure attributes a $6.1 billion earnings decrease primarily to lower crude prices and does not state a 2025 natural-gas earnings effect. The revised question preserves the causal earnings intent without relaxing the global 50–200-character span limit.",1,"[{""occurrence_id"": ""XOM-2025-167393"", ""item"": ""16"", ""location"": ""Upstream Financial Results"", ""snippet"": ""Price – Lower realizations decreased earnings by $6.1 billion, primarily driven by lower crude prices as record demand was more than offset by increased industry supply.""}]",n04,,
active_new,COST,2025,Item 7,intent_first,,,,,,passage,What drove Costco's comparable-sales growth in fiscal 2025?,One independently sufficient span must explain a principal disclosed driver of Costco's fiscal 2025 comparable-sales growth; a growth percentage without a driver is partial.,Understand the business drivers of comparable-sales performance.,The full-filing audit identified three distinct disclosures of the operating mechanisms and observed frequency/ticket drivers of comparable-sales growth.,3,"[{""occurrence_id"": ""COST-2025-083984"", ""item"": ""Item 7"", ""location"": ""Overview"", ""snippet"": ""Comparable sales growth is achieved through increasing shopping frequency from new and existing members and the amount they spend on each visit (average ticket).""}, {""occurrence_id"": ""COST-2025-084633"", ""item"": ""Item 7"", ""location"": ""Overview"", ""snippet"": ""Generating comparable sales growth is foremost a question of making available the right merchandise at the right prices, a skill that we believe we have repeatedly demonstrated over the long-term.""}, {""occurrence_id"": ""COST-2025-094148"", ""item"": ""Item 7"", ""location"": ""Overview"", ""snippet"": ""Comparable sales were positively impacted by increases of 5% in shopping frequency and approximately 1% in average ticket.""}]",n05,,
active_new,COIN,2025,Item 7,intent_first,,,,,,passage,What drove the change in Coinbase's transaction revenue in 2025?,One independently sufficient span must explain a principal company-disclosed driver of Coinbase's 2025 transaction-revenue change; an isolated revenue amount is partial.,Understand the operating drivers of transaction-revenue movement.,"The question remains broad enough for multiple correct OR-hit answers. Full traversal found three distinct driver spans: consumer fee-rate and user-mix changes, higher consumer Trading Volume, and institutional derivatives growth associated with Deribit.",3,"[{""occurrence_id"": ""COIN-2025-398200"", ""item"": ""7"", ""location"": ""Results of Operations / Transaction revenue / consumer transaction revenue"", ""snippet"": ""a lower average blended fee rate, primarily due to changes in the mix of Trading Volume from Simple users to Advanced and Coinbase One users who pay lower average fees""}, {""occurrence_id"": ""COIN-2025-398388"", ""item"": ""Item 7"", ""location"": ""Results of Operations / Transaction revenue / consumer transaction revenue"", ""snippet"": ""an increase of $277.0 million attributed to a 7% increase in consumer Trading Volume""}, {""occurrence_id"": ""COIN-2025-398500"", ""item"": ""7"", ""location"": ""Results of Operations / Transaction revenue / institutional transaction revenue"", ""snippet"": ""an increase in institutional transaction revenue driven by an increase of $152.0 million attributed to derivatives trading, due mainly to the acquisition of Deribit.""}]",n06,,
active_new,AXON,2025,Item 1,intent_first,,,,,,passage,How do Axon's subscription offerings support its recurring-revenue model?,One independently sufficient span must connect an Axon subscription or SaaS offering to recurring revenue; a product list without that business-model relationship is partial.,Understand how subscription offerings support recurring revenue.,The full-filing audit found two distinct Item 1 disclosures that independently connect subscription offerings to recurring revenue.,2,"[{""occurrence_id"": ""AXON-2025-012871"", ""item"": ""Item 1"", ""location"": ""Business Segments"", ""snippet"": ""Our revenue is derived from a combination of hardware sales, multi-year recurring software subscriptions, professional services, and extended warranties.""}, {""occurrence_id"": ""AXON-2025-013183"", ""item"": ""1"", ""location"": ""Business Segments"", ""snippet"": ""Axon has a suite of cloud-based, SaaS solutions that deeply integrate with our hardware to benefit customers and drive annual recurring revenue, which totaled $1.3 billion1 as of December 31, 2025.""}]",n07,,
active_new,DECK,2026,Item 1,intent_first,,,,,,factoid,Which brands does Deckers identify as its principal product brands?,One independently sufficient span must identify all brands Deckers presents as its principal product brands; a span naming only one brand is partial unless the filing states that it is the sole principal brand.,Identify the brands that define the company's product portfolio.,"The question remains unchanged. Filing-store reconciliation retains one Item 1 occurrence identifying HOKA, UGG, and Teva; the canonical Item 7 copy maps to that same store location and the Item 8 copy is excluded.",1,"[{""occurrence_id"": ""DECK-2026-014599"", ""item"": ""1"", ""location"": ""Business / General"", ""snippet"": ""We market our products primarily \n\nunder three proprietary brands: HOKA, UGG, and Teva.""}]",n08,,
active_new,PODD,2025,Item 1C,intent_first,,,,,,factoid,Has Insulet experienced cybersecurity incidents that materially affected the company?,"One independently sufficient occurrence must state whether previous cybersecurity incidents materially affected Insulet; hypothetical incident risks, response procedures, and governance allocations are not sufficient.",Understand how responsibility for cybersecurity risk is governed.,The revised question asks one binary incident-history fact instead of a broad allocation of governance responsibilities. Full-filing traversal found one distinct source occurrence stating that Insulet does not believe previous cybersecurity incidents materially affected the company.,1,"[{""occurrence_id"": ""PODD-2025-132068"", ""item"": ""Item 1C"", ""location"": ""Risk Management and Strategy / prior incident impact"", ""snippet"": ""We currently do not believe that risks from cybersecurity threats, including as a result of any previous cybersecurity incidents, have materially affected the Company""}]",n09,,
active_new,JPM,2025,Item 1 | Item 15,intent_first,,,,,,factoid,Which types of market risk does JPMorganChase include in its Value-at-Risk measure?,One independently sufficient span must identify all market risk types JPMorganChase states are included in its Value-at-Risk measure.,Understand which market-risk exposures JPMorganChase's Value-at-Risk measure covers.,"The question remains unchanged. The filing-store table yields a 151-character exact span that joins the CIB trading VaR risk-type heading to all four reported categories: fixed income, foreign exchange, equities, and commodities and other. The store contains the same source table under Item 1 and Item 15, so both reachable copies are enumerated as OR alternatives.",2,"[{""occurrence_id"": ""JPM-2025-504303"", ""item"": ""1"", ""location"": ""Segment & Corporate Results – Managed Basis / Market Risk Management / Value-at-risk / Total VaR table"", ""snippet"": ""CIB trading VaR by risk type\n\nFixed income$35 $27 $51 $34 $26 $53 \n\nForeign exchange9 6 15 15 7 23 \n\nEquities17 7 138 (e)8 4 15 \n\nCommodities and other""}, {""occurrence_id"": ""JPM-2025-store-item15-239167"", ""item"": ""15"", ""location"": ""Segment & Corporate Results – Managed Basis / Market Risk Management / Value-at-risk / Total VaR table"", ""snippet"": ""CIB trading VaR by risk type\n\nFixed income$35 $27 $51 $34 $26 $53 \n\nForeign exchange9 6 15 15 7 23 \n\nEquities17 7 138 (e)8 4 15 \n\nCommodities and other""}]",n10,,
reference_only,COIN,2025,Item 3,passage_first,factoid,Where does Coinbase cross-reference its significant litigation disclosures?,"ITEM 3. LEGAL PROCEEDINGS

For a description of material legal proceedings in wh",!,這一題涉及整個 RAG retrieval 問題，另外討論,,,,"This evidence identifies the precise financial-statement note containing Coinbase's material litigation disclosures, testing cross-reference retrieval.",Not carried into the 51-candidate active pool.,0,[],p46,,
reference_only,LLY,2025,Item 7,intent_first,passage,competitive threats facing Lilly’s incretin franchise,"We continue to see the production, marketing, and sale of counterfeit, misbrande",x,evidence 沒有回答到 query,,,,"This passage identifies both an evolving cardiometabolic treatment landscape and counterfeit or mass-compounded incretins, testing retrieval of product-specific competitive pressures.",Not carried into the 51-candidate active pool.,0,[],p19,,
reference_only,XOM,2025,Item 2,passage_first,factoid,Which Brazilian development began producing via an FPSO?,Brazil commenced operations in the Bacalhau Phase 1 development with the start-u,x,"evidence 沒講 FPSO, 而且這題太冷門了",,,,This evidence identifies a named Brazilian project reaching operations and tests retrieval of a specific production start-up.,Not carried into the 51-candidate active pool.,0,[],p47,,
reference_only,AMZN,2025,Item 1,passage_first,passage,"What does Career Choice provide, and how many workers joined?","Over 300,000 Amazon employees around the world have participated in Career Choic",x,這題不太是 user 會問的問題，沒有參考價值,,,,"This evidence combines Amazon’s description of Career Choice’s education benefit with a concrete participation figure, testing retrieval across adjacent sentences.",Not carried into the 51-candidate active pool.,0,[],p39,,
